C C
C1=CCCCCC1 C1CC[CH:1]=[CH:1]CC1
C1=CCCCCC1 C1[CH2:1][CH2:1][CH:1]=[CH:1][CH2:1][CH2:1]1
C1=CCCN=C1 C1=CC[CH2:1]N=C1
C1=CCCN=C1 C1=C[CH2:1]CN=C1
C1=CCCN=C1 C1=C[CH2:1][CH2:1]N=C1
C1=CCCN=C1 C1=C[CH:1]=NCC1
C1=CCCN=C1 C1=NCCC=[CH:1]1
C1=CCCN=C1 C1=NCC[CH:1]=C1
C1=CCCN=C1 C1=NCC[CH:1]=[CH:1]1
C1=CCCN=C1 C1=NC[CH2:1][CH:1]=C1
C1=CCCN=C1 C1=[CH:1][CH:1]=NCC1
C1=CCCNC=C1 C1=CCCN[CH:1]=C1
C1=CCCNC=C1 C1=CNCC[CH:1]=C1
C1=CCCNC=C1 C1=C[CH:1]=CCCN1
C1=CCCNC=C1 C1=C[CH:1]=CNCC1
C1=CCCNC=C1 C1=C[CH:1]=[CH:1]CCN1
C1=CCCNC=C1 C1=C[CH:1]=[CH:1]NCC1
C1=CCCNCC1 C1=CCC[NH:1]CC1
C1=CCCNCC1 C1=CC[CH2:1]NCC1
C1=CCCNCC1 C1=CC[CH2:1][NH:1][CH2:1]C1
C1=CCCNCC1 C1=C[CH2:1]CNCC1
C1=CCCNCC1 C1=C[CH2:1][CH2:1]NCC1
C1=CCCNCC1 C1=[CH:1]CCNCC1
C1=CCCNCC1 C1C[CH:1]=[CH:1]CCN1
C1=CCCOC=C1 C1=CCCO[CH:1]=C1
C1=CCCOC=C1 C1=COC[CH2:1]C=C1
C1=CCCOC=C1 C1=C[CH:1]=CCCO1
C1=CCCOC=C1 C1=C[CH:1]=COCC1
C1=CCCOC=C1 C1=C[CH:1]=[CH:1]OCC1
C1=CCCOCC1 C1=CC[CH2:1]OCC1
C1=CCCOCC1 C1=C[CH2:1]COCC1
C1=CCCOCC1 C1=C[CH2:1][CH2:1]OCC1
C1=CCCOCC1 C1=[CH:1]CCOCC1
C1=CCCOCC1 C1C[CH:1]=[CH:1]CCO1
C1=CCN=C1 C1=C[CH2:1]N=C1
C1=CCN=C1 C1=C[CH:1]=NC1
C1=CCN=C1 C1=NCC=[CH:1]1
C1=CCN=C1 C1=NC[CH:1]=C1
C1=CCN=C1 C1=NC[CH:1]=[CH:1]1
C1=CCN=C1 C1=N[CH2:1][CH:1]=C1
C1=CCN=C1 C1=[CH:1][CH:1]=NC1
C1=CCN=CC1 C1=CC[CH:1]=NC1
C1=CCN=CCC1 C1=CC[CH2:1]C=NC1
C1=CCN=CCC1 C1=C[CH2:1]CC=NC1
C1=CCN=CCC1 C1=C[CH2:1][CH2:1]C=NC1
C1=CCNC1 C1=CC[NH:1]C1
C1=CCNC1 C1=C[CH2:1]NC1
C1=CCNC1 C1=C[CH2:1][NH:1]C1
C1=CCNC1 C1=C[CH2:1][NH:1][CH2:1]1
C1=CCNC1 C1=[CH:1]CNC1
C1=CCNC1 C1=[CH:1][CH2:1]NC1
C1=CCNC1 C1NC[CH:1]=[CH:1]1
C1=CCNC=C1 C1=CCN[CH:1]=C1
C1=CCNC=C1 C1=CC[NH:1]C=C1
C1=CCNC=C1 C1=CC[NH:1][CH:1]=C1
C1=CCNC=C1 C1=CNC[CH:1]=C1
C1=CCNC=C1 C1=CN[CH2:1]C=C1
C1=CCNC=C1 C1=CN[CH2:1][CH:1]=C1
C1=CCNC=C1 C1=C[CH2:1][NH:1]C=C1
C1=CCNC=C1 C1=C[CH:1]=CCN1
C1=CCNC=C1 C1=C[CH:1]=CNC1
C1=CCNC=C1 C1=C[CH:1]=[CH:1]CN1
C1=CCNC=C1 C1=C[CH:1]=[CH:1]NC1
C1=CCNC=C1 C1=[CH:1][CH:1]=CNC1
C1=CCNC=CC1 C1=CCN[CH:1]=CC1
C1=CCNC=CC1 C1=CC[CH:1]=CNC1
C1=CCNC=CC1 C1=CC[CH:1]=[CH:1]NC1
C1=CCNC=CC1 C1=CNCC=[CH:1]C1
C1=CCNC=CC1 C1=CNC[CH:1]=CC1
C1=CCNC=CC1 C1=CNC[CH:1]=[CH:1]C1
C1=CCNC=NC1 C1=CCN[CH:1]=NC1
C1=CCNC=NC1 C1=C[CH2:1]N=CNC1
C1=CCNCC1 C1=CC[CH2:1]NC1
C1=CCNCC1 C1=CC[NH:1]CC1
C1=CCNCC1 C1=CC[NH:1][CH2:1]C1
C1=CCNCC1 C1=C[CH2:1]CNC1
C1=CCNCC1 C1=C[CH2:1]NCC1
C1=CCNCC1 C1=C[CH2:1][CH2:1]NC1
C1=CCNCC1 C1=C[CH2:1][NH:1]CC1
C1=CCNCC1 C1=C[CH2:1][NH:1][CH2:1]C1
C1=CCNCC1 C1=[CH:1]CCNC1
C1=CCNCC1 C1=[CH:1]CNCC1
C1=CCNCC1 C1=[CH:1][CH2:1]CNC1
C1=CCNCC1 C1=[CH:1][CH2:1]NCC1
C1=CCNCC1 C1C[CH:1]=[CH:1]CN1
C1=CCNCCC1 C1=CCN[CH2:1]CC1
C1=CCNCCC1 C1=CC[CH2:1]CNC1
C1=CCNCCC1 C1=CC[CH2:1][CH2:1]NC1
C1=CCNCCC1 C1=CC[NH:1]CCC1
C1=CCNCCC1 C1=C[CH2:1]CCNC1
C1=CCNCCC1 C1=C[CH2:1]NCCC1
C1=CCNCCC1 C1=[CH:1]CCCNC1
C1=CCNCCC1 C1=[CH:1]CNCCC1
C1=CCNCCC1 C1CNC[CH:1]=[CH:1]C1
C1=CCNN=C1 C1=CC[NH:1]N=C1
C1=CCNN=C1 C1=C[CH2:1]NN=C1
C1=CCNN=C1 C1=C[CH2:1][NH:1]N=C1
C1=CCNN=C1 C1=C[CH:1]=NNC1
C1=CCNN=C1 C1=NNCC=[CH:1]1
C1=CCNN=C1 C1=NNC[CH:1]=C1
C1=CCNN=C1 C1=NNC[CH:1]=[CH:1]1
C1=CCNN=C1 C1=[CH:1][CH:1]=NNC1
C1=CCNNC1 C1=CC[NH:1]NC1
C1=CCNNC1 C1=CC[NH:1][NH:1]C1
C1=CCNNC1 C1=C[CH2:1]NNC1
C1=CCNNC1 C1=C[CH2:1][NH:1]NC1
C1=CCNNC1 C1=[CH:1]CNNC1
C1=CCNNC1 C1NNC[CH:1]=[CH:1]1
C1=CCNNCC1 C1=CCN[NH:1]CC1
C1=CCNNCC1 C1=CC[NH:1]NCC1
C1=CCNNCC1 C1=CC[NH:1][NH:1]CC1
C1=CCOC1 C1=C[CH2:1]OC1
C1=CCOC1 C1=C[CH2:1][O:1][CH2:1]1
C1=CCOC1 C1=[CH:1]COC1
C1=CCOC1 C1=[CH:1][CH2:1]OC1
C1=CCOC1 C1OC[CH:1]=[CH:1]1
C1=CCOC=C1 C1=CCO[CH:1]=C1
C1=CCOC=C1 C1=COC[CH:1]=C1
C1=CCOC=C1 C1=CO[CH2:1]C=C1
C1=CCOC=C1 C1=CO[CH2:1][CH:1]=C1
C1=CCOC=C1 C1=C[CH:1]=CCO1
C1=CCOC=C1 C1=C[CH:1]=COC1
C1=CCOC=C1 C1=C[CH:1]=[CH:1]CO1
C1=CCOC=C1 C1=C[CH:1]=[CH:1]OC1
C1=CCOC=C1 C1=[CH:1][CH:1]=COC1
C1=CCOC=CC1 C1=COC[CH:1]=CC1
C1=CCOCC1 C1=CC[CH2:1]OC1
C1=CCOCC1 C1=C[CH2:1]COC1
C1=CCOCC1 C1=C[CH2:1]OCC1
C1=CCOCC1 C1=C[CH2:1][CH2:1]OC1
C1=CCOCC1 C1=[CH:1]CCOC1
C1=CCOCC1 C1=[CH:1]COCC1
C1=CCOCC1 C1=[CH:1][CH2:1]OCC1
C1=CCOCC1 C1C[CH:1]=[CH:1]CO1
C1=CCOCCC1 C1=CCO[CH2:1]CC1
C1=CCOCCC1 C1=CC[CH2:1]COC1
C1=CCOCCC1 C1=CC[CH2:1][CH2:1]OC1
C1=CCOCCC1 C1=C[CH2:1]OCCC1
C1=CCOCCC1 C1=[CH:1]CCCOC1
C1=CCOCCC1 C1=[CH:1]COCCC1
C1=CCOCCC1 C1COC[CH:1]=[CH:1]C1
C1=CCOCOC1 C1=CCO[CH2:1]OC1
C1=CCON=C1 C1=C[CH2:1]ON=C1
C1=CCSC1 C1=C[CH2:1]SC1
C1=CCSC1 C1=[CH:1]CSC1
C1=CCSC1 C1=[CH:1][CH2:1]SC1
C1=CCSC1 C1SC[CH:1]=[CH:1]1
C1=CCSC=C1 C1=CCS[CH:1]=C1
C1=CCSC=C1 C1=CSC[CH:1]=C1
C1=CCSC=C1 C1=CS[CH2:1]C=C1
C1=CCSC=C1 C1=CS[CH2:1][CH:1]=C1
C1=CCSC=C1 C1=C[CH:1]=CCS1
C1=CCSC=C1 C1=C[CH:1]=CSC1
C1=CCSC=C1 C1=C[CH:1]=[CH:1]SC1
C1=CCSCC1 C1=CC[CH2:1]SC1
C1=CCSCC1 C1=CC[S:1]CC1
C1=CCSCC1 C1=C[CH2:1]CSC1
C1=CCSCC1 C1=C[CH2:1]SCC1
C1=CCSCC1 C1=C[CH2:1][CH2:1]SC1
C1=CCSCC1 C1=[CH:1]CCSC1
C1=CCSCC1 C1=[CH:1]CSCC1
C1=CCSCC1 C1C[CH:1]=[CH:1]CS1
C1=CCSNC1 C1=CC[NH:1]SC1
C1=CCSNC1 C1=C[CH2:1]NSC1
C1=CCSNC1 C1=[CH:1]CNSC1
C1=CCSNC1 C1=[CH:1]CSNC1
C1=CCSNC1 C1NSC[CH:1]=[CH:1]1
C1=CCSOC1 C1=[CH:1]COSC1
C1=CCSOC1 C1=[CH:1]CSOC1
C1=CCSOC1 C1OSC[CH:1]=[CH:1]1
C1=CN=CC1 C1=CN=[CH:1]C1
C1=CN=CC1 C1=C[CH2:1]C=N1
C1=CN=CC1 C1=C[CH2:1][CH:1]=N1
C1=CN=CC1 C1=NC=[CH:1]C1
C1=CN=CC1 C1=N[CH:1]=CC1
C1=CN=CC1 C1=N[CH:1]=[CH:1]C1
C1=CN=CC=N1 C1=CN=[CH:1]C=N1
C1=CN=CC=N1 C1=CN=[CH:1][CH:1]=N1
C1=CN=CC=N1 C1=NC=[CH:1]N=C1
C1=CN=CCC1 C1=CN=C[CH2:1]C1
C1=CN=CCC1 C1=CN=[CH:1]CC1
C1=CN=CCC1 C1=C[CH2:1]CC=N1
C1=CN=CCC1 C1=C[CH2:1][CH2:1]C=N1
C1=CN=CCC1 C1=NC=[CH:1]CC1
C1=CN=CCC1 C1=N[CH:1]=CCC1
C1=CN=CCC1 C1=N[CH:1]=[CH:1]CC1
C1=CN=CCC=N1 C1=NC=[CH:1]N=CC1
C1=CN=CCN=C1 C1=CN=[CH:1]CN=C1
C1=CN=CCNC1 C1=CN=CC[NH:1]C1
C1=CN=CCNC1 C1=CN=C[CH2:1]NC1
C1=CN=CCNC1 C1=NC=[CH:1]CNC1
C1=CN=CCNC1 C1=N[CH:1]=CCNC1
C1=CN=CCNC1 C1=N[CH:1]=[CH:1]CNC1
C1=CN=CN=C1 C1=CN=[CH:1]N=C1
C1=CN=CN=C1 C1=C[CH:1]=NC=N1
C1=CN=CN=C1 C1=NC=N[CH:1]=C1
C1=CN=CN=C1 C1=NC=[CH:1]C=N1
C1=CN=CN=C1 C1=NC=[CH:1][CH:1]=N1
C1=CN=CN=C1 C1=N[CH:1]=[CH:1]C=N1
C1=CN=CN=CC1 C1=CN=[CH:1]N=CC1
C1=CN=CNC1 C1=CN=C[NH:1]C1
C1=CN=CNC1 C1=CN=[CH:1]NC1
C1=CN=CNC1 C1=CN=[CH:1][NH:1]C1
C1=CN=CNC1 C1=C[CH2:1]NC=N1
C1=CN=CNC1 C1=C[CH2:1][NH:1]C=N1
C1=CN=CNC1 C1=NC=[CH:1]CN1
C1=CN=CNC1 C1=NC=[CH:1][CH2:1]N1
C1=CN=CNC1 C1=N[CH:1]=CCN1
C1=CN=CNC1 C1=N[CH:1]=[CH:1]CN1
C1=CN=CNCC1 C1=NC=[CH:1]CCN1
C1=CN=CNCC1 C1=N[CH:1]=CCCN1
C1=CN=CNCC1 C1=N[CH:1]=[CH:1]CCN1
C1=CN=COC1 C1=CN=[CH:1]OC1
C1=CN=COC1 C1=C[CH2:1]OC=N1
C1=CN=COC1 C1=NC=[CH:1]CO1
C1=CN=COC1 C1=N[CH:1]=CCO1
C1=CN=COC1 C1=N[CH:1]=[CH:1]CO1
C1=CN=CSC1 C1=CN=[CH:1]SC1
C1=CN=CSC1 C1=NC=[CH:1]CS1
C1=CN=CSC1 C1=N[CH:1]=CCS1
C1=CN=CSC1 C1=N[CH:1]=[CH:1]CS1
C1=CN=NC=C1 C1=CN=N[CH:1]=C1
C1=CN=NC=C1 C1=C[CH:1]=CN=N1
C1=CN=NC=C1 C1=[CH:1][CH:1]=CN=N1
C1=CN=NC=N1 C1=CN=[CH:1]N=N1
C1=CN=NC=N1 C1=NC=[CH:1]N=N1
C1=CN=NC=N1 C1=N[CH:1]=CN=N1
C1=CN=NCC1 C1=CN=N[CH2:1]C1
C1=CN=NCC1 C1=C[CH2:1]CN=N1
C1=CN=NCC1 C1=C[CH2:1][CH2:1]N=N1
C1=CN=NCC1 C1=[CH:1]CCN=N1
C1=CN=NCC1 C1=[CH:1]N=NCC1
C1=CN=NCC1 C1C[CH:1]=[CH:1]N=N1
C1=CN=NN=C1 C1=C[CH:1]=NN=N1
C1=CN=NN=C1 C1=[CH:1]C=NN=N1
C1=CN=NN=C1 C1=[CH:1][CH:1]=NN=N1
C1=CN=NNC1 C1=CN=N[NH:1]C1
C1=CN=NNC1 C1=C[CH2:1]NN=N1
C1=CN=NNC1 C1=[CH:1]CNN=N1
C1=CN=NNC1 C1=[CH:1]N=NNC1
C1=CN=NNC1 C1NN=N[CH:1]=[CH:1]1
C1=CN=N[SH]=C1 C1=[SH]N=N[CH:1]=C1
C1=CNC=CC1 C1=CNC=[CH:1]C1
C1=CNC=CC1 C1=CN[CH:1]=CC1
C1=CNC=CC1 C1=CN[CH:1]=[CH:1]C1
C1=CNC=CC1 C1=C[CH2:1]C=CN1
C1=CNC=CC1 C1=C[CH2:1][CH:1]=CN1
C1=CNC=CC1 C1=C[NH:1]C=CC1
C1=CNC=CC1 C1=C[NH:1][CH:1]=CC1
C1=CNC=CN1 C1=C[NH:1]C=CN1
C1=CNC=CNC1 C1=CNC=[CH:1]NC1
C1=CNC=CNC1 C1=CN[CH:1]=CNC1
C1=CNC=CNC1 C1=CN[CH:1]=[CH:1]NC1
C1=CNC=CNC1 C1=C[NH:1]C=CNC1
C1=CNC=NC1 C1=CN[CH:1]=NC1
C1=CNC=NC1 C1=C[CH2:1]N=CN1
C1=CNC=NC1 C1=C[NH:1]C=NC1
C1=CNC=NC1 C1=C[NH:1][CH:1]=NC1
C1=CNC=NC1 C1=NCC=[CH:1]N1
C1=CNC=NC1 C1=NCC=[CH:1][NH:1]1
C1=CNC=NC1 C1=NC[CH:1]=CN1
C1=CNC=NC1 C1=NC[CH:1]=[CH:1]N1
C1=CNC=NC1 C1=N[CH2:1][CH:1]=CN1
C1=CNCC1 C1=CN[CH2:1]C1
C1=CNCC1 C1=C[CH2:1]CN1
C1=CNCC1 C1=C[CH2:1][CH2:1]N1
C1=CNCC1 C1=C[NH:1]CC1
C1=CNCC1 C1=C[NH:1][CH2:1]C1
C1=CNCC1 C1=[CH:1]CCN1
C1=CNCC1 C1=[CH:1]NCC1
C1=CNCC1 C1=[CH:1][NH:1]CC1
C1=CNCC1 C1C[CH:1]=[CH:1]N1
C1=CNCC=N1 C1=CNC[CH:1]=N1
C1=CNCC=N1 C1=CN[CH2:1]C=N1
C1=CNCC=N1 C1=CN[CH2:1][CH:1]=N1
C1=CNCC=N1 C1=C[NH:1]CC=N1
C1=CNCC=N1 C1=C[NH:1][CH2:1]C=N1
C1=CNCC=N1 C1=NC=[CH:1]NC1
C1=CNCC=N1 C1=N[CH:1]=CNC1
C1=CNCC=N1 C1=N[CH:1]=[CH:1]NC1
C1=CNCCC1 C1=CNC[CH2:1]C1
C1=CNCCC1 C1=CN[CH2:1]CC1
C1=CNCCC1 C1=CN[CH2:1][CH2:1]C1
C1=CNCCC1 C1=C[CH2:1]CCN1
C1=CNCCC1 C1=C[CH2:1][CH2:1]CN1
C1=CNCCC1 C1=C[CH2:1][CH2:1][CH2:1]N1
C1=CNCCC1 C1=C[NH:1]CCC1
C1=CNCCC1 C1=C[NH:1][CH2:1]CC1
C1=CNCCC1 C1=[CH:1]CCCN1
C1=CNCCC1 C1=[CH:1]NCCC1
C1=CNCCC1 C1=[CH:1][CH2:1]CCN1
C1=CNCCC1 C1=[CH:1][NH:1]CCC1
C1=CNCCC1 C1CN[CH:1]=[CH:1]C1
C1=CNCCC=N1 C1=NC=[CH:1]NCC1
C1=CNCCC=N1 C1=N[CH:1]=CNCC1
C1=CNCCC=N1 C1=N[CH:1]=[CH:1]NCC1
C1=CNCCCC1 C1=CNCC[CH2:1]C1
C1=CNCCCC1 C1=CNC[CH2:1]CC1
C1=CNCCCC1 C1=CNC[CH2:1][CH2:1]C1
C1=CNCCCC1 C1=C[NH:1]CCCC1
C1=CNCCCC1 C1=[CH:1]CCCCN1
C1=CNCCCC1 C1=[CH:1]NCCCC1
C1=CNCCCC1 C1CC[CH:1]=[CH:1]NC1
C1=CNCCCN1 C1=CN[CH2:1]CCN1
C1=CNCCCN1 C1=C[NH:1]CCCN1
C1=CNCCCN1 C1=[CH:1]NCCCN1
C1=CNCCCN1 C1CN[CH:1]=[CH:1]NC1
C1=CNCCN1 C1=CN[CH2:1]CN1
C1=CNCCN1 C1=CN[CH2:1][CH2:1]N1
C1=CNCCN1 C1=C[NH:1]CCN1
C1=CNCCN1 C1=C[NH:1][CH2:1]CN1
C1=CNCCN1 C1=[CH:1]NCCN1
C1=CNCCN1 C1CN[CH:1]=[CH:1]N1
C1=CNCCN=C1 C1=CN[CH2:1]CN=C1
C1=CNCCN=C1 C1=C[CH:1]=NCCN1
C1=CNCCN=C1 C1=C[NH:1]CCN=C1
C1=CNCCN=C1 C1=NCCNC=[CH:1]1
C1=CNCCN=C1 C1=NCCN[CH:1]=C1
C1=CNCCN=C1 C1=NCCN[CH:1]=[CH:1]1
C1=CNCCN=C1 C1=[CH:1][CH:1]=NCCN1
C1=CNCCNC1 C1=CNCC[NH:1]C1
C1=CNCCNC1 C1=CNC[CH2:1]NC1
C1=CNCCNC1 C1=CN[CH2:1]CNC1
C1=CNCCNC1 C1=CN[CH2:1][CH2:1]NC1
C1=CNCCNC1 C1=C[CH2:1]NCCN1
C1=CNCCNC1 C1=C[NH:1]CCNC1
C1=CNCCNC1 C1=[CH:1]CNCCN1
C1=CNCCNC1 C1=[CH:1]NCCNC1
C1=CNCCNC1 C1CN[CH:1]=[CH:1]CN1
C1=CNCCOC1 C1=C[CH2:1]OCCN1
C1=CNCCOC1 C1=[CH:1]COCCN1
C1=CNCCOC1 C1=[CH:1]NCCOC1
C1=CNCCOC1 C1COC[CH:1]=[CH:1]N1
C1=CNCCSC1 C1=C[CH2:1]SCCN1
C1=CNCCSC1 C1=[CH:1]CSCCN1
C1=CNCCSC1 C1=[CH:1]NCCSC1
C1=CNCCSC1 C1CSC[CH:1]=[CH:1]N1
C1=CNCN1 C1=CN[CH2:1]N1
C1=CNCN1 C1=C[NH:1]CN1
C1=CNCN1 C1=C[NH:1][CH2:1]N1
C1=CNCN1 C1=[CH:1]NCN1
C1=CNCN1 C1=[CH:1][NH:1]CN1
C1=CNCN1 C1N[CH:1]=[CH:1]N1
C1=CNCN=C1 C1=CN[CH2:1]N=C1
C1=CNCN=C1 C1=C[CH:1]=NCN1
C1=CNCN=C1 C1=C[NH:1]CN=C1
C1=CNCN=C1 C1=C[NH:1][CH2:1]N=C1
C1=CNCN=C1 C1=NCNC=[CH:1]1
C1=CNCN=C1 C1=NCN[CH:1]=C1
C1=CNCN=C1 C1=NCN[CH:1]=[CH:1]1
C1=CNCN=C1 C1=NC[NH:1][CH:1]=C1
C1=CNCN=C1 C1=[CH:1][CH:1]=NCN1
C1=CNCN=CC1 C1=NCN[CH:1]=CC1
C1=CNCN=N1 C1=CN[CH2:1]N=N1
C1=CNCN=N1 C1=C[NH:1]CN=N1
C1=CNCN=N1 C1=C[NH:1][CH2:1]N=N1
C1=CNCN=N1 C1=[CH:1]N=NCN1
C1=CNCN=N1 C1=[CH:1]NCN=N1
C1=CNCN=N1 C1N=N[CH:1]=[CH:1]N1
C1=CNCNC1 C1=CNC[NH:1]C1
C1=CNCNC1 C1=CN[CH2:1]NC1
C1=CNCNC1 C1=CN[CH2:1][NH:1]C1
C1=CNCNC1 C1=C[CH2:1]NCN1
C1=CNCNC1 C1=C[CH2:1][NH:1]CN1
C1=CNCNC1 C1=C[NH:1]CNC1
C1=CNCNC1 C1=C[NH:1][CH2:1]NC1
C1=CNCNC1 C1=[CH:1]CNCN1
C1=CNCNC1 C1=[CH:1]NCNC1
C1=CNCNC1 C1=[CH:1][NH:1]CNC1
C1=CNCNC1 C1NC[CH:1]=[CH:1]N1
C1=CNCNN=C1 C1=NNCNC=[CH:1]1
C1=CNCOC1 C1=[CH:1]COCN1
C1=CNCOC1 C1=[CH:1]NCOC1
C1=CNCOC1 C1N[CH:1]=[CH:1]CO1
C1=CNCSC1 C1=C[CH2:1]SCN1
C1=CNCSC1 C1=[CH:1]CSCN1
C1=CNCSC1 C1=[CH:1]NCSC1
C1=CNCSC1 C1N[CH:1]=[CH:1]CS1
C1=CNN=CC1 C1=CNN=[CH:1]C1
C1=CNN=CC1 C1=C[CH2:1]C=NN1
C1=CNN=CC1 C1=C[NH:1]N=CC1
C1=CNN=CC1 C1=NNC=[CH:1]C1
C1=CNN=CC1 C1=NNC=[CH:1][CH2:1]1
C1=CNN=CC1 C1=NN[CH:1]=CC1
C1=CNN=NC1 C1=C[CH2:1]N=NN1
C1=CNN=NC1 C1=[CH:1]CN=NN1
C1=CNN=NC1 C1=[CH:1][CH2:1]N=NN1
C1=CNNC1 C1=CN[NH:1]C1
C1=CNNC1 C1=C[CH2:1]NN1
C1=CNNC1 C1=C[CH2:1][NH:1]N1
C1=CNNC1 C1=C[NH:1]NC1
C1=CNNC1 C1=[CH:1]CNN1
C1=CNNC1 C1=[CH:1]NNC1
C1=CNNC1 C1=[CH:1][NH:1]NC1
C1=CNNC1 C1NN[CH:1]=[CH:1]1
